Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
200;10;28;48,3;205;52,5;13,41
200;11;28;48,3;157;52,5;13,41
200;12;27;48,3;162;52,5;13,41
200;13;27;48,3;158;52,5;13,41
200;14;26;48,3;153;52,5;13,41
200;1;448;135,6;261;52,5;13,42
200;2;232;135,6;229;52,5;13,42
200;3;160;135,6;233;52,5;13,42
200;4;126;135,6;266;52,5;13,42
200;5;103;135,6;216;52,5;13,42
200;6;89;135,6;236;52,5;13,42
200;7;79;135,6;220;52,5;13,42
200;8;74;135,6;275;52,5;13,42
200;9;66;135,6;221;52,5;13,42
200;10;62;135,6;254;52,5;13,42
200;11;59;135,6;237;52,5;13,42
200;12;57;135,6;240;52,5;13,42
200;13;54;135,6;227;52,5;13,42
200;14;52;135,6;237;52,5;13,42
200;1;619;29;388;52,5;13,43
200;2;322;29;373;52,5;13,43
200;3;234;29;406;52,5;13,43
200;4;184;29;400;52,5;13,43
200;5;158;29;349;52,5;13,43
200;6;142;29;391;52,5;13,43
200;7;128;29;389;52,5;13,43
200;8;121;29;419;52,5;13,43
200;9;116;29;403;52,5;13,43
200;10;109;29;378;52,5;13,43
200;11;106;29;427;52,5;13,43
200;12;101;29;430;52,5;13,43
200;13;100;29;432;52,5;13,43
200;14;96;29;417;52,5;13,43
200;1;2174;6,3;3471;52,5;13,44
200;2;1402;6,3;3873;52,5;13,44
200;3;1143;6,3;3912;52,5;13,44
200;4;1020;6,3;3379;52,5;13,44
200;5;945;6,3;3166;52,5;13,44
200;6;901;6,3;3097;52,5;13,44
200;7;872;6,3;3173;52,5;13,44
200;8;841;6,3;3062;52,5;13,44
200;9;823;6,3;3100;52,5;13,44
200;10;812;6,3;3284;52,5;13,44
200;11;800;6,3;3050;52,5;13,44
200;12;795;6,3;2797;52,5;13,44
200;13;792;6,3;3141;52,5;13,44
200;14;783;6,3;3241;52,5;13,44
400;1;1718;218,1;2413;52,5;13,45
400;2;1030;218,1;2320;52,5;13,45
400;3;806;218,1;2320;52,5;13,45
400;4;707;218,1;2407;52,5;13,45
400;5;641;218,1;2371;52,5;13,45
400;6;600;218,1;2766;52,5;13,45
400;7;578;218,1;2590;52,5;13,45
400;8;561;218,1;2464;52,5;13,45
400;9;542;218,1;2235;52,5;13,45
400;10;531;218,1;2287;52,5;13,45
400;11;524;218,1;2613;52,5;13,45
400;12;515;218,1;2721;52,5;13,45
400;13;507;218,1;3101;52,5;13,45
400;14;504;218,1;2568;52,5;13,45
200;1;816;41,2;905;52,5;13,46
200;2;467;41,2;874;52,5;13,46
200;3;355;41,2;1032;52,5;13,46
200;4;296;41,2;885;52,5;13,46
200;5;269;41,2;885;52,5;13,46
200;6;245;41,2;845;52,5;13,46
200;7;237;41,2;897;52,5;13,46
200;8;226;41,2;846;52,5;13,46
200;9;217;41,2;882;52,5;13,46
200;10;212;41,2;849;52,5;13,46
200;11;209;41,2;951;52,5;13,46
200;12;205;41,2;803;52,5;13,46
200;13;204;41,2;840;52,5;13,46
200;14;204;41,2;798;52,5;13,46
200;1;119;202,3;92;52,5;13,47
200;2;58;202,3;73;52,5;13,47
200;3;39;202,3;70;52,5;13,47
200;4;28;202,3;97;52,5;13,47
200;5;23;202,3;71;52,5;13,47
200;6;19;202,3;73;52,5;13,47
200;7;17;202,3;81;52,5;13,47
200;8;15;202,3;73;52,5;13,47
200;9;14;202,3;90;52,5;13,47
200;10;13;202,3;77;52,5;13,47
200;11;11;202,3;69;52,5;13,47
200;12;10;202,3;63;52,5;13,47
200;13;10;202,3;76;52,5;13,47
200;14;9;202,3;82;52,5;13,47
200;1;801;184,7;894;52,5;13,48
200;2;458;184,7;839;52,5;13,48
200;3;347;184,7;912;52,5;13,48
