Radius;discrGrade;pointsCount;routedDist;Time;Latitude;Longtitude
200;7;23;25524,1;372;52,49;13,34
200;8;21;25524,1;382;52,49;13,34
200;9;20;25524,1;397;52,49;13,34
200;10;20;25524,1;352;52,49;13,34
200;11;19;25524,1;359;52,49;13,34
200;12;19;25524,1;383;52,49;13,34
200;13;19;25524,1;368;52,49;13,34
200;14;18;25524,1;429;52,49;13,34
200;1;112;24733,5;366;52,49;13,35
200;2;57;24733,5;369;52,49;13,35
200;3;39;24733,5;375;52,49;13,35
200;4;32;24733,5;368;52,49;13,35
200;5;28;24733,5;357;52,49;13,35
200;6;24;24733,5;394;52,49;13,35
200;7;23;24733,5;363;52,49;13,35
200;8;21;24733,5;390;52,49;13,35
200;9;20;24733,5;373;52,49;13,35
200;10;20;24733,5;362;52,49;13,35
200;11;19;24733,5;566;52,49;13,35
200;12;19;24733,5;354;52,49;13,35
200;13;19;24733,5;357;52,49;13,35
200;14;18;24733,5;380;52,49;13,35
200;1;112;24056,1;492;52,49;13,36
200;2;57;24056,1;394;52,49;13,36
200;3;39;24056,1;360;52,49;13,36
200;4;32;24056,1;389;52,49;13,36
200;5;28;24056,1;395;52,49;13,36
200;6;24;24056,1;351;52,49;13,36
200;7;23;24056,1;324;52,49;13,36
200;8;21;24056,1;413;52,49;13,36
200;9;20;24056,1;412;52,49;13,36
200;10;20;24056,1;378;52,49;13,36
200;11;19;24056,1;348;52,49;13,36
200;12;19;24056,1;367;52,49;13,36
200;13;19;24056,1;393;52,49;13,36
200;14;18;24056,1;377;52,49;13,36
200;1;112;23535,1;404;52,49;13,37
200;2;57;23535,1;388;52,49;13,37
200;3;39;23535,1;561;52,49;13,37
200;4;32;23535,1;358;52,49;13,37
200;5;28;23535,1;450;52,49;13,37
200;6;24;23535,1;357;52,49;13,37
200;7;23;23535,1;337;52,49;13,37
200;8;21;23535,1;339;52,49;13,37
200;9;20;23535,1;356;52,49;13,37
200;10;20;23535,1;396;52,49;13,37
200;11;19;23535,1;356;52,49;13,37
200;12;19;23535,1;358;52,49;13,37
200;13;19;23535,1;356;52,49;13,37
200;14;18;23535,1;365;52,49;13,37
200;1;112;22610,3;407;52,49;13,38
200;2;57;22610,3;328;52,49;13,38
200;3;39;22610,3;324;52,49;13,38
200;4;32;22610,3;339;52,49;13,38
200;5;28;22610,3;380;52,49;13,38
200;6;24;22610,3;339;52,49;13,38
200;7;23;22610,3;320;52,49;13,38
200;8;21;22610,3;327;52,49;13,38
200;9;20;22610,3;329;52,49;13,38
200;10;20;22610,3;363;52,49;13,38
200;11;19;22610,3;345;52,49;13,38
200;12;19;22610,3;339;52,49;13,38
200;13;19;22610,3;340;52,49;13,38
200;14;18;22610,3;347;52,49;13,38
200;1;112;22039,7;481;52,49;13,39
200;2;57;22039,7;367;52,49;13,39
200;3;39;22039,7;355;52,49;13,39
200;4;32;22039,7;342;52,49;13,39
200;5;28;22039,7;328;52,49;13,39
200;6;24;22039,7;319;52,49;13,39
200;7;23;22039,7;365;52,49;13,39
200;8;21;22039,7;323;52,49;13,39
200;9;20;22039,7;332;52,49;13,39
200;10;20;22039,7;324;52,49;13,39
200;11;19;22039,7;404;52,49;13,39
200;12;19;22039,7;305;52,49;13,39
200;13;19;22039,7;385;52,49;13,39
200;14;18;22039,7;321;52,49;13,39
200;1;112;21263,5;367;52,49;13,4
200;2;57;21263,5;368;52,49;13,4
200;3;39;21263,5;374;52,49;13,4
200;4;32;21263,5;365;52,49;13,4
200;5;28;21263,5;422;52,49;13,4
200;6;24;21263,5;377;52,49;13,4
200;7;23;21263,5;513;52,49;13,4
200;8;21;21263,5;382;52,49;13,4
200;9;20;21263,5;483;52,49;13,4
200;10;20;21263,5;372;52,49;13,4
200;11;19;21263,5;418;52,49;13,4
200;12;19;21263,5;546;52,49;13,4
200;13;19;21263,5;501;52,49;13,4
200;14;18;21263,5;427;52,49;13,4
200;1;112;20601,7;382;52,49;13,41
200;2;57;20601,7;354;52,49;13,41
200;3;39;20601,7;321;52,49;13,41
200;4;32;20601,7;311;52,49;13,41
200;5;28;20601,7;361;52,49;13,41
200;6;24;20601,7;305;52,49;13,41
200;7;23;20601,7;315;52,49;13,41
200;8;21;20601,7;356;52,49;13,41
200;9;20;20601,7;331;52,49;13,41
200;10;20;20601,7;350;52,49;13,41
200;11;19;20601,7;379;52,49;13,41
200;12;19;20601,7;299;52,49;13,41
200;13;19;20601,7;319;52,49;13,41
200;14;18;20601,7;322;52,49;13,41
200;1;112;20082,8;400;52,49;13,42
200;2;57;20082,8;386;52,49;13,42
200;3;39;20082,8;341;52,49;13,42
200;4;32;20082,8;317;52,49;13,42
200;5;28;20082,8;342;52,49;13,42
200;6;24;20082,8;354;52,49;13,42
200;7;23;20082,8;334;52,49;13,42
200;8;21;20082,8;304;52,49;13,42
200;9;20;20082,8;361;52,49;13,42
200;10;20;20082,8;383;52,49;13,42
200;11;19;20082,8;307;52,49;13,42
200;12;19;20082,8;347;52,49;13,42
200;13;19;20082,8;293;52,49;13,42
200;14;18;20082,8;340;52,49;13,42
200;1;112;19366,7;440;52,49;13,43
200;2;57;19366,7;297;52,49;13,43
200;3;39;19366,7;286;52,49;13,43
200;4;32;19366,7;356;52,49;13,43
200;5;28;19366,7;266;52,49;13,43
200;6;24;19366,7;304;52,49;13,43
200;7;23;19366,7;318;52,49;13,43
200;8;21;19366,7;292;52,49;13,43
200;9;20;19366,7;320;52,49;13,43
200;10;20;19366,7;315;52,49;13,43
200;11;19;19366,7;342;52,49;13,43
200;12;19;19366,7;300;52,49;13,43
200;13;19;19366,7;290;52,49;13,43
200;14;18;19366,7;304;52,49;13,43
200;1;112;18389,6;312;52,49;13,44
200;2;57;18389,6;393;52,49;13,44
200;3;39;18389,6;342;52,49;13,44
200;4;32;18389,6;289;52,49;13,44
200;5;28;18389,6;341;52,49;13,44
200;6;24;18389,6;307;52,49;13,44
200;7;23;18389,6;295;52,49;13,44
200;8;21;18389,6;329;52,49;13,44
200;9;20;18389,6;302;52,49;13,44
200;10;20;18389,6;289;52,49;13,44
200;11;19;18389,6;359;52,49;13,44
200;12;19;18389,6;321;52,49;13,44
200;13;19;18389,6;299;52,49;13,44
200;14;18;18389,6;409;52,49;13,44
200;1;112;17679,8;320;52,49;13,45
200;2;57;17679,8;317;52,49;13,45
200;3;39;17679,8;647;52,49;13,45
200;4;32;17679,8;340;52,49;13,45
200;5;28;17679,8;488;52,49;13,45
200;6;24;17679,8;315;52,49;13,45
200;7;23;17679,8;426;52,49;13,45
200;8;21;17679,8;584;52,49;13,45
200;9;20;17679,8;295;52,49;13,45
200;10;20;17679,8;350;52,49;13,45
200;11;19;17679,8;329;52,49;13,45
200;12;19;17679,8;276;52,49;13,45
200;13;19;17679,8;343;52,49;13,45
200;14;18;17679,8;298;52,49;13,45
200;1;112;17238,8;342;52,49;13,46
200;2;57;17238,8;354;52,49;13,46
200;3;39;17238,8;315;52,49;13,46
200;4;32;17238,8;268;52,49;13,46
200;5;28;17238,8;277;52,49;13,46
200;6;24;17238,8;291;52,49;13,46
200;7;23;17238,8;321;52,49;13,46
200;8;21;17238,8;306;52,49;13,46
200;9;20;17238,8;434;52,49;13,46
200;10;20;17238,8;280;52,49;13,46
200;11;19;17238,8;302;52,49;13,46
200;12;19;17238,8;270;52,49;13,46
200;13;19;17238,8;263;52,49;13,46
200;14;18;17238,8;286;52,49;13,46
200;1;112;17180,3;269;52,49;13,47
200;2;57;17180,3;261;52,49;13,47
200;3;39;17180,3;338;52,49;13,47
200;4;32;17180,3;303;52,49;13,47
200;5;28;17180,3;282;52,49;13,47
200;6;24;17180,3;273;52,49;13,47
200;7;23;17180,3;281;52,49;13,47
200;8;21;17180,3;323;52,49;13,47
200;9;20;17180,3;309;52,49;13,47
200;10;20;17180,3;289;52,49;13,47
200;11;19;17180,3;278;52,49;13,47
200;12;19;17180,3;304;52,49;13,47
200;13;19;17180,3;262;52,49;13,47
200;14;18;17180,3;315;52,49;13,47
200;1;112;17234,7;340;52,49;13,48
200;2;57;17234,7;246;52,49;13,48
200;3;39;17234,7;280;52,49;13,48
200;4;32;17234,7;296;52,49;13,48
200;5;28;17234,7;313;52,49;13,48
200;6;24;17234,7;291;52,49;13,48
200;7;23;17234,7;265;52,49;13,48
